通番	文番号	単語	標準ペルシア語１	標準ペルシア語２	標準ペルシア語3	標準ペルシア語４
460	2004	میاومد	آمدن			
2013	7004	میومده	آمدن			
2974	2025	نمیاد	آمدن			
3094	2042	نمیام	آمدن			
3722	4024	نمیام	آمدن			
637	2027	نمیاین	آمدن			
5091	3005	امروز	امروز			
5749	10004	آن	آن			
4779	1055	اون	آن			
6297	1055	اون	آن			
4887	2022	اون	آن			
5015	2056	اون	آن			
3322	3003	اون	آن			
5090	3005	اون	آن			
5978	3014	اون	آن			
3636	4016	اون	آن			
5253	4016	اون	آن			
1367	4019	اون	آن			
3679	4022	اون	آن			
3797	4035	اون	آن			
3825	4039	اون	آن			
1595	5014	اون	آن			
1628	5022	اون	آن			
6074	5059	اون	آن			
1834	5060	اون	آن			
5506	5065	اون	آن			
4149	6005	اون	آن			
6283	6005	اون	آن			
4164	6006	اون	آن			
4186	6012	اون	آن			
4201	6015	اون	آن			
6284	6015	اون	آن			
6105	6016	اون	آن			
6239	6016	اون	آن			
6243	6017	اون	آن			
6123	8005	اون	آن			
4324	8009	اون	آن			
5631	8009	اون	آن			
5636	8010	اون	آن			
4339	8011	اون	آن			
4353	8013	اون	آن			
5678	9011	اون	آن			
2569	1027	اونجا	آنجا			
1328	4013	اونجا	آنجا			
1407	4026	اونجا	آنجا			
5691	9015	اونجا	آنجا			
831	2057	انداخت	انداختن			
1197	3040	انداخت	انداختن			
4470	9021	انداخت	انداختن			
5992	3031	بندازم	انداختن			
4306	8004	بندازن	انداختن			
4308	8004	بندازن	انداختن			
2036	7008	میاندازه	انداختن			
5348	5001	انسان	انسان			
3848	5002	انسان	انسان			
6035	5007	انسان	انسان			
5372	5010	انسان	انسان			
6226	5012	انسان	انسان			
5381	5013	انسان	انسان			
1585	5014	انسان	انسان			
6046	5018	انسان	انسان			
3902	5019	انسان	انسان			
5399	5021	انسان	انسان			
5406	5025	انسان	انسان			
5407	5026	انسان	انسان			
5414	5028	انسان	انسان			
1668	5029	انسان	انسان			
3967	5034	انسان	انسان			
6065	5048	انسان	انسان			
6067	5048	انسان	انسان			
6069	5049	انسان	انسان			
5463	5050	انسان	انسان			
5465	5052	انسان	انسان			
1798	5053	انسان	انسان			
5473	5057	انسان	انسان			
6075	5059	انسان	انسان			
5493	5061	انسان	انسان			
4090	5063	انسان	انسان			
5498	5063	انسان	انسان			
6090	5067	انسان	انسان			
6231	5067	انسان	انسان			
5531	6001	انسان	انسان			
6093	6005	انسان	انسان			
4204	6015	انسان	انسان			
4322	8009	اون ها	آنها			
1344	4016	اونا	آنها			
1867	5066	اونا	آنها			
2615	1030	شون	آنها			
2619	1030	شون	آنها			
1941	6012	اونوقت	آنوقت			
4018	5048	آه	آه			
4020	5048	آه	آه			
5742	10003	آهو	آهو			
2329	10009	آهو	آهو			
4590	10016	آهو	آهو			
5352	5002	او	او			
2599	1030	او	او			
6258	10004	آوردند	آوردن			
4105	5065	بیار	آوردن			
1907	6006	میاره	آوردن			
1378	4020	اول	اول			
1129	3032	اووو	اووو			
2459	1007	ای	ای			
4669	1023	ای	ای			
2679	1036	ای	ای			
3376	3011	ای	ای			
1766	5048	ای	ای			
1739	5043	آی	ای			
1913	6007	ایستی	ایستادن			
1916	6007	ایستی	ایستادن			
4182	6011	ایستی	ایستادن			
1474	4036	میسته	ایستادن			
4618	1003	این	این			
2426	1004	این	این			
2430	1005	این	این			
4626	1005	این	این			
5820	1031	این	این			
2671	1035	این	این			
325	1040	این	این			
328	1041	این	این			
346	1045	این	این			
350	1046	این	این			
372	1051	این	این			
5844	1051	این	این			
4775	1055	این	این			
6267	1055	این	این			
2799	2004	این	این			
5881	2012	این	این			
5905	2024	این	این			
6192	2024	این	این			
731	2043	این	این			
753	2048	این	این			
3197	2054	این	این			
5945	2056	این	این			
5021	2057	این	این			
5026	2058	این	این			
5028	2058	این	این			
5034	2059	این	این			
5951	2059	این	این			
5046	2060	این	این			
5955	2060	این	این			
3265	2061	این	این			
5063	2062	این	این			
955	3002	این	این			
5073	3002	این	این			
3353	3009	این	این			
5113	3011	این	این			
5985	3025	این	این			
5989	3031	این	این			
5179	3035	این	این			
5198	3045	این	این			
3563	4002	این	این			
1469	4036	این	این			
3808	4036	این	این			
3856	5004	این	این			
5371	5010	این	این			
1601	5015	این	این			
5405	5025	این	این			
6056	5033	این	این			
3966	5034	این	این			
1706	5037	این	این			
5440	5041	این	این			
1749	5045	این	این			
5462	5050	این	این			
4051	5057	این	این			
4068	5060	این	این			
5492	5061	این	این			
1847	5063	این	این			
4079	5063	این	این			
4084	5063	این	این			
5500	5063	این	این			
4141	6003	این	این			
4148	6004	این	این			
4151	6005	این	این			
6097	6006	این	این			
1920	6008	این	این			
5558	6012	این	این			
6113	7004	این	این			
5600	7006	این	این			
5604	7006	این	این			
4299	8003	این	این			
4301	8004	این	این			
5651	9001	این	این			
4367	9002	این	این			
2135	9003	این	این			
2142	9004	این	این			
6248	9004	این	این			
6133	9010	این	این			
2196	9012	این	این			
5686	9014	این	این			
6251	9014	این	این			
4459	9020	این	این			
4476	9022	این	این			
4485	9023	این	این			
4490	9024	این	این			
4518	10003	این	این			
5746	10004	این	این			
6163	10005	این	این			
2314	10007	این	این			
5761	10010	این	این			
2368	10015	این	این			
4600	10019	این	این			
523	2012	اینا	این			
578	2019	اینا	این			
3156	2050	اینا	این			
5959	2061	اینا	این			
3337	3005	اینا	این			
5103	3010	اینا	این			
3567	4002	اینا	این			
5469	5054	اینا	این			
5769	10013	اینا	این			
3672	4020	اینا	اینا			
3006	2031	اینجا	اینجا			
3037	2035	اینجا	اینجا			
3540	3044	اینجا	اینجا			
3725	4025	اینجا	اینجا			
1681	5032	اینجور	اینجور			
3439	3025	اینقدر	اینقدر			
3471	3031	اینقدر	اینقدر			
1134	3033	اینقدر	اینقدر			
2444	1005	با	با			
2663	1033	با	با			
4777	1055	با	با			
2983	2027	با	با			
4934	2035	با	با			
3162	2050	با	با			
3284	2062	با	با			
3302	2063	با	با			
3561	4001	با	با			
5290	4024	با	با			
5324	4029	با	با			
3814	4037	با	با			
4008	5046	با	با			
5542	6005	با	با			
6282	6005	با	با			
5548	6006	با	با			
4285	8001	با	با			
6149	9019	با	با			
4559	10010	با	با			
3213	2056	باد	باد			
3215	2057	باد	باد			
3217	2057	باد	باد			
5027	2058	باد	باد			
3463	3028	باد	باد			
3850	5002	بار	بار			
1560	5008	بار	بار			
1589	5014	بار	بار			
1631	5022	بار	بار			
4138	6003	بار	بار			
4191	6012	بار	بار			
4236	7003	بار	بار			
4248	7004	بار	بار			
